date,channel,sample
1657012082.390477,0,-0.08323210918306323
1657012082.390948,1,-0.240404727018662
1657012082.391354,2,-0.48708269082325906
1657012082.391731,3,-0.017410308367374228
1657012082.393263,0,-0.17058440559267218
1657012082.393632,1,-0.2668564787483305
1657012082.393996,2,-1.634350527470577
1657012082.394358,3,-0.29238549495254773
1657012082.395854,0,-0.4040364935324341
1657012082.396215,1,-0.3388298497337132
1657012082.396576,2,-1.7678396001528647
1657012082.396937,3,-0.36651191549731976
1657012082.398517,0,-0.4738568149584239
1657012082.398962,1,-0.3545163536664244
1657012082.399403,2,-0.8054264471047539
1657012082.399844,3,-0.19642100030537257
1657012082.401412,0,-0.32006756071615605
1657012082.40185,1,-0.32345092430948696
1657012082.402292,2,0.8465777219656871
1657012082.402732,3,0.11915454939975945
1657012082.40433,0,0.00012166661624668507
1657012082.404772,1,-0.2484017682392583
1657012082.405213,2,1.7185627935193466
1657012082.405652,3,0.3430717035765021
1657012082.407217,0,0.22219334974208138
1657012082.407662,1,-0.18165723189811445
1657012082.408105,2,1.2894907741834203
1657012082.408547,3,0.30247134045654533
1657012082.410112,0,0.17636415197788402
1657012082.410554,1,-0.16812377752479613
1657012082.410993,2,-0.2074938266108166
1657012082.411435,3,0.02380521176955419
1657012082.412999,0,-0.0878457868103304
1657012082.413439,1,-0.23302284281503205
1657012082.41388,2,-1.5808318669942683
1657012082.41432,3,-0.28438845373194965
1657012082.415914,0,-0.392040931701537
1657012082.416355,1,-0.3083795773937439
1657012082.416796,2,-1.7586122448983286
1657012082.417236,3,-0.37358622119246476
1657012082.418809,0,-0.45940062505965074
1657012082.41925,1,-0.34867236200521745
1657012082.419687,2,-0.6719373744224644
1657012082.420127,3,-0.17950418233872334
1657012082.421691,0,-0.2840808752234665
1657012082.422132,1,-0.3142235690549491
1657012082.422571,2,0.9597666130879983
1657012082.423037,3,0.15114271428215353
1657012082.424601,0,0.031187095973184142
1657012082.42504,1,-0.236098627899878
1657012082.42548,2,1.7253295207060066
1657012082.425918,3,0.35106874479710015
1657012082.427483,0,0.2292676554372246
1657012082.427978,1,-0.1776587112878154
1657012082.428425,2,1.1501577098399256
1657012082.428864,3,0.26617707645536903
1657012082.430435,0,0.14837450770579075
1657012082.430875,1,-0.17212229813509516
1657012082.431315,2,-0.4234139395669594
1657012082.431757,3,-0.015872415824951247
1657012082.433321,0,-0.12537036484544473
1657012082.433763,1,-0.22933190071321796
1657012082.434201,2,-1.6687993204208453
1657012082.434641,3,-0.3062265278343528
1657012082.436206,0,-0.41449416282090823
1657012082.436649,1,-0.314838726071919
1657012082.437087,2,-1.714628518185041
1657012082.437526,3,-0.3603603453276314
1657012082.439092,0,-0.45201874085602256
1657012082.439531,1,-0.3499026760391555
1657012082.439972,2,-0.5233769548244336
1657012082.44041,3,-0.13705834816785867
1657012082.441978,0,-0.25024723929016623
1657012082.442417,1,-0.319144825190703
1657012082.442855,2,1.078799495871511
1657012082.443295,3,0.17943993706273176
1657012082.444859,0,0.059791897262243765
1657012082.445301,1,-0.22717885115382686
1657012082.445741,2,1.7262522562314597
